City,County,Population (2021)[3],Population (2011)[4],Population (2002),Elevation (m),Year statusgranted (a) orfirst attested (b),Image
Bucharest,—,"1,716,961","1,883,425","1,926,334",85,1459b,
Cluj-Napoca,Cluj,"286,598","324,576","317,953",360,1316a,
Iași,Iași,"271,692","290,422","320,888",95,1408b,
Constanța,Constanța,"263,688","283,872","310,471",25,260 BCb (as Tomis),
Timișoara,Timiș,"250,849","319,279","317,660",90,1342a,
Brașov,Brașov,"237,589","253,200","284,596",625,1235b,
Craiova,Dolj,"234,140","269,506","302,601",100,1475b,
Galați,Galați,"217,851","249,432","298,861",55,1445b,
Oradea,Bihor,"183,105","196,367","206,614",150,1113b,
Ploiești,Prahova,"180,540","209,945","232,527",150,1596b,
Brăila,Brăila,"154,686","180,302","216,292",20,1368b,
Arad,Arad,"145,078","159,074","172,824",107,1028b,
Pitești,Argeș,"141,275","155,383","168,458",287,1388b,
Bacău,Bacău,"136,087","144,307","175,500",165,1408b,
Sibiu,Sibiu,"134,309","147,245","154,892",415,1191b,
Târgu Mureș,Mureș,"116,033","134,290","149,577",330,1332a,
Baia Mare,Maramureș,"108,759","123,738","137,976",225,1329b,
Buzău,Buzău,"103,481","115,494","133,116",95,1431b,
Râmnicu Vâlcea,Vâlcea,"93,151","98,776","107,656",250,1388b,
Satu Mare,Satu Mare,"91,520","102,411","115,630",123,1213b,
Botoșani,Botoșani,"90,010","106,847","115,344",130,1439b,
Suceava,Suceava,"84,322","92,121","106,138",325,1388b,
Drobeta-Turnu Severin,Mehedinți,"79,865","92,617","104,035",65,121 ADb;1833a,
Piatra Neamț,Neamț,"79,679","85,055","105,499",345,1491b,
Bistrița,Bistrița-Năsăud,"78,877","75,076","81,467",360,1349a,
Târgu Jiu,Gorj,"73,545","82,504","96,562",205,1406b[5],
Târgoviște,Dâmbovița,"66,965","79,610","89,429",280,1396b[5],
Focșani,Vrancea,"66,648","79,315","103,219",55,1575b,
Tulcea,Tulcea,"65,624","73,707","92,762",30,300 BC–292 BCb (as Aegyssus);1506b (as Tulcea)[5],
Alba Iulia,Alba,"64,227","63,536","66,369",330,1097b,
Slatina,Olt,"63,487","70,293","79,171",135,1368b,
Vaslui,Vaslui,"63,035","55,407","70,267",110–170,1375b,
Reșița,Caraș-Severin,"58,393","73,282","83,985",245,1925a,
Călărași,Călărași,"58,211","65,181","70,039",13,1534b,
Giurgiu,Giurgiu,"54,551","61,353","69,587",25,1395b,
Popești-Leordeni,Ilfov,"53,434","21,895","15,115",,2004a,
Deva,Hunedoara,"53,113","61,123","69,390",187,1269b,
Bârlad,Vaslui,"52,475","55,837","69,183",70–120,1174b,
Zalău,Sălaj,"52,359","56,202","63,305",275,1473a,
Hunedoara,Hunedoara,"50,457","60,525","71,380",240,1265b,
Sfântu Gheorghe,Covasna,"50,080","56,006","61,512",555,1332b;1832a,
Roman,Neamț,"48,644","50,713","69,483",200,1387b,
Voluntari,Ilfov,"47,366","42,944","30,016",57,"1864b (the Pipera village),1921b (Cetatea Voluntărească/the Volunteering Citadel);1968b (as Voluntari);[6]2004a",
Turda,Cluj,"43,319","47,744","55,770",315,1075b,
Slobozia,Ialomița,"41,550","45,891","52,677",20,1614b,
Alexandria,Teleorman,"40,390","45,434","50,591",41,1840a,
Bragadiru,Ilfov,"40,080","15,329","8,165",37,2005a,
Mediaș,Sibiu,"39,505","47,204","55,203",330,1359a,
Lugoj,Timiș,"35,450","40,361","44,571",124,1334b (Sacerdos de Lucas);1376b (as Castrum Lugas);1542a[5],
Medgidia,Constanța,"34,612","39,780","43,867",75,1840b;1968a,
Miercurea Ciuc,Harghita,"34,484","38,966","41,852",662,1558b,
Năvodari,Constanța,"34,398","32,981","32,400",7,1421b (as Kara Koyun);1927b (as Năvodari);1968a,
Onești,Bacău,"34,005","39,172","51,681",210,"1436b (as ""Siliștea lui Oană la Trotuș""/the village hearth of Oană upon Trotuș);[5]1956a",
Pantelimon,Ilfov,"32,873","25,596","16,019",,2005a,
Tecuci,Galați,"32,801","34,871","42,012",50,1435b,
Sighetu Marmației,Maramureș,"32,793","37,640","41,246",274,1326b,
Mangalia,Constanța,"31,950","36,364","40,037",20,500 BC–400 BCb (as Callatis);1593b (as Mangalia)[5],
Dej,Cluj,"31,475","33,497","38,478",285,1061b,
Odorheiu Secuiesc,Harghita,"31,335","34,257","36,926",477–504,1301b (as Castrum Vduord);1332–1334b (as Uduorhel village);1485a (as Oppidum Udvarhely),
Petroșani,Hunedoara,"31,044","37,160","45,447",615,1930a,
Săcele,Brașov,"30,920","30,798","29,967",,1366b;1971a,
Pașcani,Iași,"30,766","33,745","42,172",250,1419b,
Râmnicu Sărat,Buzău,"29,774","33,843","38,805",118,1439b,
Reghin,Mureș,"29,742","33,281","36,023",390,1228b,
Mioveni,Argeș,"29,317","31,998","35,849",300,1485b (as Colibași);1989a (as Colibași);1996b (as Mioveni),
Câmpina,Prahova,"28,993","32,935","38,758",435,1503b/1864a,
Câmpulung,Argeș,"27,574","31,767","38,285",580–600,1292[5]–1300b,
Fetești,Ialomița,"27,465","30,217","33,197",25,1528b/1934a[5],
Caracal,Olt,"27,403","30,954","34,603",128,1538b,
Borșa,Maramureș,"27,711","27,611","27,247",950,1365b/1968a,
Sebeș,Alba,"26,490","27,019","29,475",,1245b,
Făgăraș,Brașov,"26,284","30,714","36,121",430,1222b (the region of Fagar šu/Fogaras river);1291b (as Fogros);1310 (the Fogaras wooden fortress)[5],
Curtea de Argeș,Argeș,"25,977","27,359","32,626",420,1330b (as Argeș castle/cetate);1510b (as The Argeș Court/Curtea de Argeș)[5],
Huși,Vaslui,"25,045","26,266","33,320",120,1494b,
Rădăuți,Suceava,"24,292","23,822","32,151",375,1393b,
Sighișoara,Mureș,"23,927","28,102","32,287",380,1367a,
Fălticeni,Suceava,"23,902","25,723","33,867",220–390,"1440b;1490b (as ""Șumuz, that is Fulticeanii"" village);1780b (as Șoldănești town/târg);1826b (Fălticeni)[5]",
Dorohoi,Botoșani,"22,893","24,309","31,073",170,1407b,
Oltenița,Călărași,"22,624","24,822","31,434",15,1853a,
